t,x_0,v_0,g_0,x_1,v_1,g_1
0,0.0,0.0,-6.0,0.0,0.0,2.0
1,0.6000000000000001,-6.0,-4.199999999999999,-0.2,2.0,1.8
2,1.56,-9.6,-1.3200000000000003,-0.56,3.6,1.44
3,2.556,-9.96,1.6680000000000001,-1.028,4.68,0.972
4,3.2856,-7.296,3.8568,-1.5464,5.183999999999999,0.4536
5,3.55656,-2.709600000000001,4.66968,-2.05832,5.119199999999999,-0.05832000000000015
6,3.3334560000000004,2.231039999999999,4.000368000000002,-2.513216,4.548959999999999,-0.5132159999999999
7,2.7326256000000004,6.008304000000001,2.1978768000000013,-2.8713007999999998,3.5808479999999996,-0.8713007999999998
8,1.9720905600000003,7.6053504000000025,-0.08372831999999875,-3.10644704,2.3514624,-1.10644704
9,1.2959818559999998,6.761087040000004,-2.1120544320000008,-3.207433952,1.0098691200000003,-1.2074339520000001
10,0.8986894655999995,3.9729239040000026,-3.3039316032000015,-3.1775787776,-0.29855174399999984,-1.1775787776
11,0.8715194745599995,0.2716999104000011,-3.3854415763200016,-3.03295124288,-1.4462753471999998,-1.0329512428799998
12,1.1856106402559996,-3.1409116569600006,-2.4431680792320014,-2.799491337344,-2.33459905536,-0.799491337344
13,1.7126094973055999,-5.269988570496002,-0.8621715080832004,-2.5094282886272,-2.900630487168,-0.5094282886272001
14,2.2731256194585603,-5.6051612215296025,0.8193768583756809,-2.19742871591936,-3.1199957270784004,-0.19742871591936018
15,2.6956524435586564,-4.225268241000961,2.0869573306759683,-1.896886228890368,-3.0054248702899207,0.10311377110963194
16,2.8672308521811463,-1.7157840862248968,2.601692556543439,-1.6367093676752384,-2.6017686121512966,0.36329063232476155
17,2.761482164287043,1.0574868789410317,2.2844464928611288,-1.438879255814098,-1.9783011186114057,0.5611207441859021
18,2.437863695896237,3.236184683908057,1.313591087688712,-1.3169442295576617,-1.219350262564363,0.6830557704423383
19,2.015247965575641,4.226157303205964,0.04574389672692192,-1.2755082829711029,-0.41435946586558847,0.7244917170288971
20,1.6303194186144119,3.8492854696122896,-1.1090417441567642,-1.3106651027460896,0.35156819774986753,0.6893348972539104
21,1.3947879007649822,2.3553151784942967,-1.815636297705053,-1.4112397302689688,1.0057462752287911,0.5887602697310312
22,1.3643731644710007,0.30414736293981415,-1.9068805065869983,-1.5606329220126631,1.4939319174369432,0.4393670779873369
23,1.5276879524651172,-1.6331478799411654,-1.4169361426046478,-1.7390235023807217,1.7839058036805857,0.2609764976192783
24,1.8163648759202868,-2.8867692345516964,-0.5509053722391393,-1.9256726744739021,1.8664917209318055,0.07432732552609789
25,2.1312646442538536,-3.1489976833356663,0.39379393276156094,-2.1010896619103745,1.754169874364723,-0.1010896619103745
26,2.3752950424779073,-2.440303982240539,1.1258851274337225,-2.2488559844121623,1.4776632250178763,-0.24885598441216228
27,2.482333888136184,-1.0703884565827626,1.4470016644085515,-2.356960076222555,1.0810409181039264,-0.3569600762225549
28,2.433968682787777,0.48365205348406515,1.3019060483633318,-2.4185577512296526,0.615976750070979,-0.41855775122965255
29,2.260249393137878,1.7371928964989904,0.7807481794136351,-2.4321398836130754,0.1358213238342285,-0.4321398836130754
30,2.0258272145116054,2.3442217862627266,0.07748164353481624,-2.4011498143968484,-0.3099006921622698,-0.4011498143968484
31,1.8070990893944785,2.18728125117127,-0.5787027318165645,-2.3331437706625593,-0.6800604373428911,-0.3331437706625593
32,1.6681140499707205,1.3898503942375786,-0.9956578500878379,-2.238623954235443,-0.9451981642711613,-0.23862395423544314
33,1.6425932994981223,0.25520750472598297,-1.072220101505633,-2.1296937240274945,-1.0893023020794883,-0.12969372402749446
34,1.726846634223347,-0.8425333472522483,-0.8194600973299586,-2.018687144437591,-1.1100657958990339,-0.01868714443759112
35,1.8846206452090453,-1.577740109856982,-0.3461380643728642,-1.916912508362919,-1.0177463607467216,0.08308749163708096
36,2.06123106153346,-1.766104163244148,0.1836931846003793,-1.833624085059422,-0.8328842330349685,0.1663759149405779
37,2.2018111177653954,-1.405800562319354,0.6054333532961866,-1.7753020955803327,-0.5832198947908938,0.2246979044196673
38,2.2677898330445188,-0.659787152791232,0.8033694991335558,-1.745282095491119,-0.30020000089213705,0.254717904508881
39,2.246833726882374,0.20956106162144694,0.7405011806471222,-1.7437358858617147,-0.015462096294042382,0.2562641141382853
40,2.1539231132717314,0.9291061361064245,0.4617693398151941,-1.7679707086090795,0.24234822747364718,0.23202929139092054
41,2.024126627040634,1.297964862310976,0.0723798811219023,-1.8129849782207998,0.45014269611720303,0.18701502177920015
42,1.9000718013204558,1.2405482572017807,-0.2997845960386325,-1.8721993230492682,0.5921434482846829,0.12780067695073183
43,1.8184009177761589,0.8167088354429701,-0.5447972466715232,-1.9382723010899627,0.6607297804069464,0.061727698910037265
44,1.799376847253444,0.19024070522714998,-0.6018694582396682,-2.0039107512175915,0.656384501276289,-0.003910751217591546
45,1.8424421296069673,-0.4306528235352332,-0.4726736111790979,-2.0625942812106985,0.5868352999310685,-0.06259428121069854
46,1.9284682448430481,-0.8602611523608078,-0.21459526547085517,-2.1091500300834247,0.4655574887272631,-0.10915003008342472
47,2.0273512751026064,-0.9888303025955822,0.08205382530781868,-2.140135201060536,0.3098517097711121,-0.14013520106053612
48,2.108140619805427,-0.8078934470282053,0.3244218594162813,-2.1540083348338825,0.1387313377334648,-0.15400833483388254
49,2.1484088440963376,-0.4026822429091035,0.44522653228901277,-2.1510933217465062,-0.029150130873764224,-0.15109332174650625
50,2.1401275927292556,0.0828125136708196,0.4203827781877667,-2.1333604777932167,-0.17732843953289404,-0.1333604777932167
51,2.0906361886801053,0.49491404049150434,0.27190856604031577,-2.1040648704559346,-0.29295607337282137,-0.1040648704559346
52,2.0189030684318383,0.7173312024826697,0.056709205295515375,-2.067292336806787,-0.3677253364914738,-0.06729233680678703
53,1.9486723396788466,0.7023072875299181,-0.15398298096346075,-2.0274678228418757,-0.39824513964911346,-0.027467822841875655
54,1.9008629818975,0.4780935778134656,-0.29741105430750014,-1.988878977989268,-0.3858884485260778,0.011121022010732062
55,1.8875756653250382,0.13287316572461894,-0.337273004024885,-1.955261119822994,-0.33617858166273795,0.04473888017700589
56,1.909344380812311,-0.217687154872728,-0.2719668575630667,-1.9294789354910482,-0.2578218433194583,0.07052106450895179
57,1.9561329105071632,-0.4678852969485219,-0.1316012684785104,-1.9133270760431922,-0.16151859447856068,0.08667292395680781
58,2.0114027140803814,-0.55269803573218,0.03420814224114466,-1.9074576949358024,-0.05869381107389679,0.09254230506419758
59,2.0577247230721634,-0.4632200899178174,0.1731741692164901,-1.9114294824455715,0.039717875097690473,0.08857051755442846
60,2.0820971142431177,-0.24372391170954555,0.2462913427293536,-1.9238611429598065,0.12431660514234989,0.07613885704019352
61,2.0794031320240416,0.026939822190762602,0.23820939607212477,-1.9426635231266374,0.18802380166830843,0.05733647687336263
62,2.0531576084196606,0.2624552360438111,0.1594728252589821,-1.9653193129641213,0.22655789837484022,0.03468068703587868
63,2.0135893546498194,0.3956825376984121,0.04076806394945809,-1.9891775925214448,0.2385827955732349,0.01082240747855523
64,1.9739011198620164,0.396882347878029,-0.07829664041395112,-2.0117322848708916,0.22554692349446664,-0.011732284870891618
65,1.9460113725943888,0.278897472676275,-0.16196588221683328,-2.0308582794983043,0.19125994627412837,-0.03085827949830433
66,1.9371071882752073,0.08904184319181424,-0.18867843517437777,-2.0449858467131454,0.14127567214841122,-0.04498584671314543
67,1.9479612659053818,-0.10854077630174495,-0.15611620228385448,-2.053202072535188,0.08216225822042467,-0.05320207253518783
68,1.9733415560009242,-0.2538029009554249,-0.07997533199722717,-2.0552764685215075,0.02074395986319437,-0.05527646852150747
69,2.0041813502866352,-0.3083979428571096,0.012544050859905731,-2.051615778057044,-0.03660690464463254,-0.05161577805704409
70,2.0306827600577844,-0.2650140977114929,0.09204828017335309,-2.0431595788333228,-0.08456199223721338,-0.043159578833322776
71,2.0453292008344834,-0.14646440776699055,0.13598760250344988,-2.0312330416486413,-0.11926537184681482,-0.03123304164864127
72,2.0449122372831674,0.004169635513158382,0.1347367118495022,-2.0173758540175637,-0.1385718763107746,-0.017375854017563697
73,2.031063298902033,0.13848938381134474,0.09318989670609845,-2.0031667997478375,-0.14209054269726085,-0.003166799747837512
74,2.0092802646884023,0.2178303421363087,0.027840794065206786,-1.9900619709303002,-0.13104828817537229,0.00993802906969976
75,1.986891454489614,0.2238881019878846,-0.03932563653115828,-1.9792614279014866,-0.10800543028813529,0.020738572098513375
76,1.9706740889638201,0.16217365525793787,-0.08797773310853962,-1.9716147963854058,-0.07646631516080839,0.02838520361459418
77,1.9648762333014598,0.05797855662360446,-0.10537130009562112,-1.9675713483823924,-0.04043448003013338,0.03242865161760755
78,1.9701952932148974,-0.053190599134377105,-0.0894141203553076,-1.9671751103414412,-0.003962380409512488,0.03282488965855879
79,1.9839238591725221,-0.137285659576247,-0.048228422482433864,-1.970100985070441,0.02925874728999755,0.029899014929559042
80,2.001102410782628,-0.17178551610105616,0.0033072323478835486,-1.9757241738194966,0.05623188749055684,0.02427582618050339
81,2.0162323839969347,-0.151299732143067,0.0486971519908046,-1.9832126263116971,0.07488452492200455,0.016787373688302853
82,2.02497964469073,-0.0874726069379557,0.07493893407219065,-1.9916309709235078,0.08418344611810695,0.008369029076492174
83,2.0253582859079273,-0.0037864121719694693,0.07607485772378197,-2.0000443839817867,0.08413413058278843,-4.4383981786744187e-05
84,2.018091577231026,0.07266708676900946,0.05427473169307895,-2.007612017336059,0.07567633354272285,-0.007612017336059207
85,2.0061240662525073,0.11967510978518746,0.01837219875752183,-2.0136616856212983,0.06049668285239136,-0.013661685621298325
86,1.9935160864960881,0.12607979756419055,-0.019451740511735593,-2.017740218515884,0.040785328945853905,-0.01774021851588392
87,1.9841140787664846,0.0940200772960359,-0.04765776370054642,-2.0196368762694226,0.018966577535384596,-0.019636876269422565
88,1.980418048179896,0.03696030586588589,-0.058745855460311525,-2.019380180620665,-0.0025669564875764293,-0.019380180620665044
89,1.9829662061979976,-0.02548158018101422,-0.051101381406007285,-2.0172111364747165,-0.02169044145948383,-0.017211136474716504
90,1.9903696865548897,-0.07403480356892009,-0.028890940335331017,-2.0135378830958914,-0.03673253378825195,-0.013537883095891434
91,1.9999219129096255,-0.0955222635473591,-0.00023426127112369244,-2.0088781667453595,-0.04659716350531819,-0.008878166745359461
92,2.0085423427560003,-0.08620429846374689,0.02562702826800134,-2.003796605355345,-0.05081561390014583,-0.003796605355344873
93,2.0137380267909375,-0.051956840349370856,0.04121408037281249,-1.9988435395687973,-0.04953065786547612,0.001156460431202655
94,2.0142927343850996,-0.0055470759416212795,0.04287820315529878,-1.9945014264040248,-0.043421131647725854,0.005498573595975165
95,2.010504150904316,0.03788583480783963,0.031512452712947336,-1.991143381915327,-0.0335804448869781,0.008856618084672974
96,2.0039431805003156,0.065609704040003,0.011829541500946839,-1.9890068036839663,-0.02136578231360732,0.010993196316033682
97,1.9968553529866206,0.07087827513694955,-0.009433941040137839,-1.988183202907345,-0.008236007766212906,0.01181679709265504
98,1.991419702328309,0.05435650658311676,-0.02574089301507332,-1.9886236419176513,0.004404390103063425,0.011376358082348714
99,1.9891017060373357,0.023179962909731767,-0.03269488188799308,-1.9901576728351618,0.015340309175105798,0.009842327164838238
100,1.9902849975642591,-0.011832915269234485,,-1.992522533377405,0.023648605422433456,
